REGC2021_V1_00,REGC2021_V1_00_NAME,REGC2021_V1_00_NAME_ASCII,LAND_AREA_SQ_KM,AREA_SQ_KM
1,Northland Region,Northland Region,12507.83061,12520.17843
2,Auckland Region,Auckland Region,4941.088493,4942.155306
3,Waikato Region,Waikato Region,23900.89883,24579.58933
4,Bay of Plenty Region,Bay of Plenty Region,12071.81399,12281.73779
5,Gisborne Region,Gisborne Region,8385.292826,8385.292826
6,Hawke's Bay Region,Hawke's Bay Region,14139.15244,14190.94974
7,Taranaki Region,Taranaki Region,7254.489721,7254.489721
8,Manawatū-Whanganui Region,Manawatu-Whanganui Region,22220.61328,22220.61328
9,Wellington Region,Wellington Region,8049.488183,8119.576175
12,West Coast Region,West Coast Region,23245.59992,23321.64715
13,Canterbury Region,Canterbury Region,44504.04243,45207.70921
14,Otago Region,Otago Region,31186.39997,31904.67195
15,Southland Region,Southland Region,31196.44289,31842.402
16,Tasman Region,Tasman Region,9616.430885,9649.941039
17,Nelson Region,Nelson Region,422.1936006,422.1936006
18,Marlborough Region,Marlborough Region,10457.79808,10470.58976
99,Area Outside Region,Area Outside Region,798.8388736,813.229432
